kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten_kota,kemendagri_nama_kabupaten_kota,tahun,bulan,jenis_stunting,jumlah,satuan
11,Aceh,11.72,Kota Sabang,2023,Februari,underweight,457,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Februari,underweight,860,jiwa
11,Aceh,11.74,Kota Langsa,2023,Februari,underweight,172,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Februari,underweight,638,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Maret,underweight,330,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Maret,underweight,565,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Maret,underweight,2334,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Maret,underweight,548,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Maret,underweight,220,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Maret,underweight,3796,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Maret,underweight,2368,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Maret,underweight,1847,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Maret,underweight,989,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Maret,underweight,984,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Maret,underweight,1324,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Maret,underweight,719,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Maret,underweight,143,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Maret,underweight,598,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Maret,underweight,684,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Maret,underweight,994,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Maret,underweight,990,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Maret,underweight,903,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Maret,underweight,1118,jiwa
11,Aceh,11.72,Kota Sabang,2023,Maret,underweight,389,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Maret,underweight,775,jiwa
11,Aceh,11.74,Kota Langsa,2023,Maret,underweight,164,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Maret,underweight,441,jiwa
