kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten_kota,kemendagri_nama_kabupaten_kota,tahun,bulan,jenis_stunting,jumlah,satuan
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Januari,stunting,1285,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Januari,stunting,756,jiwa
11,Aceh,11.72,Kota Sabang,2023,Januari,stunting,390,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Januari,stunting,807,jiwa
11,Aceh,11.74,Kota Langsa,2023,Januari,stunting,132,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Januari,stunting,857,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Februari,stunting,976,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Februari,stunting,1161,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Februari,stunting,3734,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Februari,stunting,1313,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Februari,stunting,505,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Februari,stunting,5293,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Februari,stunting,1926,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Februari,stunting,2378,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Februari,stunting,886,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Februari,stunting,1500,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Februari,stunting,961,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Februari,stunting,1050,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Februari,stunting,284,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Februari,stunting,675,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Februari,stunting,999,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Februari,stunting,1098,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Februari,stunting,1626,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Februari,stunting,1152,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Februari,stunting,957,jiwa
11,Aceh,11.72,Kota Sabang,2023,Februari,stunting,385,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Februari,stunting,872,jiwa
11,Aceh,11.74,Kota Langsa,2023,Februari,stunting,129,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Februari,stunting,909,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Maret,stunting,514,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Maret,stunting,1113,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Maret,stunting,2653,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Maret,stunting,1009,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Maret,stunting,214,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Maret,stunting,3779,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Maret,stunting,1857,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Maret,stunting,1667,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Maret,stunting,853,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Maret,stunting,1354,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Maret,stunting,948,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Maret,stunting,830,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Maret,stunting,273,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Maret,stunting,681,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Maret,stunting,877,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Maret,stunting,1153,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Maret,stunting,1693,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Maret,stunting,768,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Maret,stunting,1205,jiwa
11,Aceh,11.72,Kota Sabang,2023,Maret,stunting,357,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Maret,stunting,856,jiwa
11,Aceh,11.74,Kota Langsa,2023,Maret,stunting,132,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Maret,stunting,669,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2022,November,wasting,280,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2022,November,wasting,468,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2022,November,wasting,2056,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2022,November,wasting,290,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2022,November,wasting,653,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2022,November,wasting,2399,jiwa
11,Aceh,11.07,Kabupaten Pidie,2022,November,wasting,1676,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2022,November,wasting,1194,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2022,November,wasting,562,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2022,November,wasting,422,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2022,November,wasting,855,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2022,November,wasting,483,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2022,November,wasting,254,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2022,November,wasting,332,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2022,November,wasting,535,jiwa
